Time,Datapath,in port,eth_dst,out port,packet count,byte count,flow speed(Kbps)
2021-09-18 16:41:46,4294967297,1,00:00:00:00:00:03,2,3,238,0
2021-09-18 16:41:46,4294967297,2,00:00:00:00:00:01,1,2,196,0
2021-09-18 16:41:46,4294967298,1,00:00:00:00:00:01,2,2,196,0
2021-09-18 16:41:46,4294967298,2,00:00:00:00:00:03,1,3,238,0
2021-09-18 16:41:51,4294967298,1,00:00:00:00:00:01,2,4,392,0.31
2021-09-18 16:41:51,4294967298,2,00:00:00:00:00:03,1,5,434,0.31
2021-09-18 16:41:51,4294967297,1,00:00:00:00:00:03,2,5,434,0.31
2021-09-18 16:41:51,4294967297,2,00:00:00:00:00:01,1,4,392,0.31
2021-09-18 16:41:56,4294967297,1,00:00:00:00:00:03,2,5,434,0.0
2021-09-18 16:41:56,4294967297,2,00:00:00:00:00:01,1,4,392,0.0
2021-09-18 16:41:56,4294967298,1,00:00:00:00:00:01,2,4,392,0.0
2021-09-18 16:41:56,4294967298,2,00:00:00:00:00:03,1,5,434,0.0
2021-09-18 16:42:01,4294967297,1,00:00:00:00:00:03,2,5,434,0.0
2021-09-18 16:42:01,4294967297,2,00:00:00:00:00:01,1,4,392,0.0
2021-09-18 16:42:01,4294967298,1,00:00:00:00:00:01,2,4,392,0.0
2021-09-18 16:42:01,4294967298,2,00:00:00:00:00:03,1,5,434,0.0
2021-09-18 16:42:06,4294967297,1,00:00:00:00:00:03,2,5,434,0.0
2021-09-18 16:42:06,4294967297,2,00:00:00:00:00:01,1,4,392,0.0
2021-09-18 16:42:06,4294967298,1,00:00:00:00:00:01,2,4,392,0.0
2021-09-18 16:42:06,4294967298,2,00:00:00:00:00:03,1,5,434,0.0
2021-09-18 16:42:11,4294967297,1,00:00:00:00:00:03,2,5,434,0.0
2021-09-18 16:42:11,4294967297,2,00:00:00:00:00:01,1,4,392,0.0
2021-09-18 16:42:11,4294967298,1,00:00:00:00:00:01,2,4,392,0.0
2021-09-18 16:42:11,4294967298,2,00:00:00:00:00:03,1,5,434,0.0
2021-09-18 16:42:16,4294967297,1,00:00:00:00:00:03,2,5,434,0.0
2021-09-18 16:42:16,4294967297,2,00:00:00:00:00:01,1,4,392,0.0
2021-09-18 16:42:16,4294967298,1,00:00:00:00:00:01,2,4,392,0.0
2021-09-18 16:42:16,4294967298,2,00:00:00:00:00:03,1,5,434,0.0
2021-09-18 16:42:21,4294967297,1,00:00:00:00:00:03,2,5,434,0.0
2021-09-18 16:42:21,4294967297,2,00:00:00:00:00:01,1,4,392,0.0
2021-09-18 16:42:21,4294967298,1,00:00:00:00:00:01,2,4,392,0.0
2021-09-18 16:42:21,4294967298,2,00:00:00:00:00:03,1,5,434,0.0
2021-09-18 16:42:26,4294967297,1,00:00:00:00:00:03,2,5,434,0.0
2021-09-18 16:42:26,4294967297,2,00:00:00:00:00:01,1,4,392,0.0
2021-09-18 16:42:26,4294967298,1,00:00:00:00:00:01,2,4,392,0.0
2021-09-18 16:42:26,4294967298,2,00:00:00:00:00:03,1,5,434,0.0
2021-09-18 16:42:31,4294967297,1,00:00:00:00:00:03,2,5,434,0.0
2021-09-18 16:42:31,4294967297,2,00:00:00:00:00:01,1,4,392,0.0
2021-09-18 16:42:31,4294967298,1,00:00:00:00:00:01,2,4,392,0.0
2021-09-18 16:42:31,4294967298,2,00:00:00:00:00:03,1,5,434,0.0
2021-09-18 16:42:36,4294967297,1,00:00:00:00:00:03,2,5,434,0.0
2021-09-18 16:42:36,4294967297,2,00:00:00:00:00:01,1,4,392,0.0
2021-09-18 16:42:36,4294967298,1,00:00:00:00:00:01,2,4,392,0.0
2021-09-18 16:42:36,4294967298,2,00:00:00:00:00:03,1,5,434,0.0
2021-09-18 16:42:41,4294967297,1,00:00:00:00:00:03,2,5,434,0.0
2021-09-18 16:42:41,4294967297,2,00:00:00:00:00:01,1,4,392,0.0
2021-09-18 16:42:41,4294967298,1,00:00:00:00:00:01,2,4,392,0.0
2021-09-18 16:42:41,4294967298,2,00:00:00:00:00:03,1,5,434,0.0
2021-09-18 16:42:46,4294967297,1,00:00:00:00:00:03,2,5,434,0.0
2021-09-18 16:42:46,4294967297,2,00:00:00:00:00:01,1,4,392,0.0
2021-09-18 16:42:46,4294967298,1,00:00:00:00:00:01,2,4,392,0.0
2021-09-18 16:42:46,4294967298,2,00:00:00:00:00:03,1,5,434,0.0
2021-09-18 16:42:51,4294967297,1,00:00:00:00:00:03,2,5,434,0.0
2021-09-18 16:42:51,4294967297,2,00:00:00:00:00:01,1,4,392,0.0
2021-09-18 16:42:51,4294967298,1,00:00:00:00:00:01,2,4,392,0.0
2021-09-18 16:42:51,4294967298,2,00:00:00:00:00:03,1,5,434,0.0
2021-09-18 16:42:56,4294967297,1,00:00:00:00:00:03,2,5,434,0.0
2021-09-18 16:42:56,4294967297,2,00:00:00:00:00:01,1,4,392,0.0
2021-09-18 16:42:56,4294967298,1,00:00:00:00:00:01,2,4,392,0.0
2021-09-18 16:42:56,4294967298,2,00:00:00:00:00:03,1,5,434,0.0
2021-09-18 16:43:01,4294967298,1,00:00:00:00:00:01,2,4,392,0.0
2021-09-18 16:43:01,4294967298,2,00:00:00:00:00:03,1,5,434,0.0
2021-09-18 16:43:06,4294967298,1,00:00:00:00:00:01,2,4,392,0.0
2021-09-18 16:43:06,4294967298,2,00:00:00:00:00:03,1,5,434,0.0
